Symbol,GICS Sector,GICS Sub-Industry
GLUE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GLXY,Finance,Investment Bankers/Brokers/Service
GMAB,Health Care,Biotechnology: Pharmaceutical Preparations
GNTX,Consumer Discretionary,Auto Parts:O.E.M.
GO,Consumer Staples,Food Chains
GOOD,Real Estate,Real Estate
GOOG,Technology,Computer Software: Programming Data Processing
GOOGL,Technology,Computer Software: Programming Data Processing
GOOGM,Technology,Computer Software: Programming Data Processing
GOOGN,Technology,Computer Software: Programming Data Processing
GPCR,Health Care,Biotechnology: Pharmaceutical Preparations
GPRE,Industrials,Major Chemicals
GRAL,Health Care,Medical Specialities
GRFS,Health Care,Biotechnology: Pharmaceutical Preparations
GRPN,Consumer Discretionary,Advertising
GRRR,Technology,Computer Software: Prepackaged Software
GRVY,Technology,EDP Services
GSAT,Consumer Discretionary,Telecommunications Equipment
GSBC,Finance,Major Banks
GSHD,Finance,Specialty Insurers
GT,Consumer Discretionary,Automotive Aftermarket
GTLB,Technology,Computer Software: Prepackaged Software
GTX,Consumer Discretionary,Auto Parts:O.E.M.
HAFC,Finance,Major Banks
HALO,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
HAPN,Finance,Finance: Consumer Services
HAS,Consumer Discretionary,Recreational Games/Products/Toys
HBAN,Finance,Major Banks
HBCP,Finance,Banks
HBNC,Finance,Major Banks
HBT,Finance,Major Banks
HCSG,Health Care,Hospital/Nursing Management
HELE,Consumer Discretionary,Home Furnishings
HELP,Health Care,Biotechnology: Pharmaceutical Preparations
HFWA,Finance,Banks
HIMX,Technology,Semiconductors
HLIT,Technology,Radio And Television Broadcasting And Communications Equipment
HLMN,Consumer Discretionary,Industrial Machinery/Components
HLNE,Finance,Investment Managers
HMH,Consumer Discretionary,Oil and Gas Field Machinery
HNRG,Utilities,Electric Utilities: Central
HNST,Consumer Discretionary,Catalog/Specialty Distribution
HON,Industrials,Aerospace
HONA,Industrials,Aerospace
HOOD,Finance,Investment Bankers/Brokers/Service
HOPE,Finance,Major Banks
HPK,Energy,Oil & Gas Production
HQ,Technology,EDP Services
HQY,Consumer Discretionary,Business Services
HRMY,Health Care,Biotechnology: Pharmaceutical Preparations
HROW,Health Care,Biotechnology: Pharmaceutical Preparations
HSAI,Industrials,Industrial Machinery/Components
HSIC,Health Care,Medical Specialities
HST,Real Estate,Real Estate Investment Trusts
HSTM,Technology,Computer Software: Programming Data Processing
HTFL,Health Care,Medical/Dental Instruments
HTHT,Consumer Discretionary,Hotels/Resorts
HTLD,Industrials,Trucking Freight/Courier Services
HTO,Utilities,Water Supply
HUBG,Industrials,Integrated Freight & Logistics
HURN,Consumer Discretionary,Professional Services
HUT,Finance,Finance: Consumer Services
HWC,Finance,Major Banks
HWKN,Consumer Discretionary,Specialty Chemicals
HYMC,Basic Materials,Precious Metals
IART,Health Care,Medical/Dental Instruments
IBCP,Finance,Major Banks
IBEX,Technology,EDP Services
IBKR,Finance,Investment Bankers/Brokers/Service
IBOC,Finance,Major Banks
IBRX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ICFI,Consumer Discretionary,Professional Services
ICHR,Technology,Semiconductors
ICLR,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ICUI,Health Care,Medical/Dental Instruments
IDCC,Miscellaneous,Multi-Sector Companies
IDXX,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
IDYA,Health Care,Biotechnology: Pharmaceutical Preparations
IEP,Energy,Integrated oil Companies
IESC,Industrials,Engineering & Construction
IGIC,Finance,Property-Casualty Insurers
IIIV,Technology,Computer Software: Prepackaged Software
ILMN,Health Care,Medical Specialities
ILPT,Real Estate,Real Estate Investment Trusts
IMCR,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IMKTA,Consumer Staples,Food Chains
IMMX,Health Care,Biotechnology: Pharmaceutical Preparations
IMNM,Health Care,Biotechnology: Pharmaceutical Preparations
IMSR,Industrials,Metal Fabrications
IMTX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IMVT,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IMXI,Consumer Discretionary,Business Services
INBX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
INCY,Health Care,Biotechnology: Commercial Physical & Biological Resarch
INDB,Finance,Major Banks
INDV,Health Care,Biotechnology: Pharmaceutical Preparations
INIO,Consumer Discretionary,Metal Fabrications
INMD,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
INNV,Health Care,Medical/Nursing Services
INOD,Technology,EDP Services
INSM,Health Care,Biotechnology: Pharmaceutical Preparations
INTA,Technology,Computer Software: Prepackaged Software
INTC,Technology,Semiconductors
INTR,Finance,Commercial Banks
INTU,Technology,Computer Software: Prepackaged Software
INVA,Health Care,Biotechnology: Pharmaceutical Preparations
IOND,Finance,Finance: Consumer Services
IONS,Health Care,Biotechnology: Pharmaceutical Preparations
IOSP,Industrials,Major Chemicals
IOVA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IPAR,Consumer Discretionary,Package Goods/Cosmetics
IPGP,Technology,Semiconductors
IPX,Basic Materials,Other Metals and Minerals
IQMX,Technology,Computer Software: Prepackaged Software
IRDM,Consumer Discretionary,Telecommunications Equipment
IREN,Finance,Finance: Consumer Services
IRON,Health Care,Biotechnology: Pharmaceutical Preparations
IRTC,Health Care,Medical/Dental Instruments
ISRG,Health Care,Industrial Specialties
ISSC,Technology,EDP Services
ITIC,Finance,Specialty Insurers
ITRI,Industrials,Electrical Products
ITRN,Technology,Electronic Components
JACK,Consumer Discretionary,Restaurants
JANX,Health Care,Biotechnology: Pharmaceutical Preparations
JAZZ,Health Care,Biotechnology: Pharmaceutical Preparations
JBHT,Industrials,Trucking Freight/Courier Services
JBIO,Health Care,Biotechnology: Pharmaceutical Preparations
JBLU,Consumer Discretionary,Air Freight/Delivery Services
JBSS,Consumer Staples,Specialty Foods
JCAP,Finance,Finance Companies
JD,Consumer Discretionary,Other Specialty Stores
JJSF,Consumer Staples,Specialty Foods
JKHY,Technology,EDP Services
JOYY,Technology,EDP Services
KALU,Industrials,Metal Fabrications
KARD,Health Care,Biotechnology: Pharmaceutical Preparations
KC,Technology,Computer Software: Prepackaged Software
KDP,Consumer Staples,Beverages (Production/Distribution)
KE,Technology,Electrical Products
KELYA,Consumer Discretionary,Professional Services
KHC,Consumer Staples,Packaged Foods
KIDS,Health Care,Medical/Dental Instruments
KLAC,Technology,Electronic Components
KLIC,Technology,Semiconductors
KLRA,Health Care,Biotechnology: Pharmaceutical Preparations
KMB,Consumer Discretionary,Containers/Packaging
KMTS,Health Care,Medical/Dental Instruments
KNSA,Health Care,Biotechnology: Pharmaceutical Preparations
KOD,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
KRNT,Industrials,Industrial Machinery/Components
KRNY,Finance,Savings Institutions
KRT,Industrials,Plastic Products
KRUS,Consumer Discretionary,Restaurants
KRYS,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
KTOS,Industrials,Military/Government/Technical
KURA,Health Care,Biotechnology: Pharmaceutical Preparations
KYIV,Telecommunications,Telecommunications Equipment
KYMR,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
KYTX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LAMR,Real Estate,Real Estate Investment Trusts
LAND,Real Estate,Real Estate Investment Trusts
LASR,Technology,Semiconductors
LAUR,Real Estate,Other Consumer Services
LBRDA,Telecommunications,Cable & Other Pay Television Services
LBRDK,Telecommunications,Cable & Other Pay Television Services
LBRX,Health Care,Biotechnology: Pharmaceutical Preparations
LBTYA,Telecommunications,Cable & Other Pay Television Services
LBTYK,Telecommunications,Cable & Other Pay Television Services
LCID,Industrials,Auto Manufacturing
LE,Consumer Discretionary,Clothing/Shoe/Accessory Stores
LECO,Industrials,Industrial Machinery/Components
LEGH,Consumer Discretionary,Homebuilding
LEGN,Health Care,Biotechnology: Pharmaceutical Preparations
LFST,Health Care,Medical/Nursing Services
LFTO,Technology,EDP Services
LFUS,Energy,Electrical Products
LGIH,Consumer Discretionary,Homebuilding
LGN,Consumer Discretionary,Engineering & Construction
LGND,Health Care,Biotechnology: Pharmaceutical Preparations
LI,Industrials,Auto Manufacturing
LIF,Technology,EDP Services
LIFE,Finance,Specialty Insurers
LILA,Telecommunications,Cable & Other Pay Television Services
LILAK,Telecommunications,Cable & Other Pay Television Services
LILAP,Telecommunications,Cable & Other Pay Television Services
LIME,Technology,Computer Software: Prepackaged Software
LIN,Basic Materials,Major Chemicals
LINC,Real Estate,Other Consumer Services
LIND,Consumer Discretionary,Transportation Services
LINE,Real Estate,Real Estate Investment Trusts
LITE,Telecommunications,Telecommunications Equipment
LIVN,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
LKFT,Health Care,Biotechnology: Pharmaceutical Preparations
LKQ,Consumer Discretionary,Motor Vehicles
LLYVK,Consumer Discretionary,Services-Misc. Amusement & Recreation
LMAT,Health Care,Medical/Dental Instruments
LMB,Consumer Discretionary,Engineering & Construction
LMRI,Health Care,Medical Specialities
LNT,Utilities,Power Generation
LNTH,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
LOCO,Consumer Discretionary,Restaurants
LOGI,Technology,Computer peripheral equipment
LOPE,Real Estate,Other Consumer Services
LPLA,Finance,Investment Bankers/Brokers/Service
LPTH,Technology,Semiconductors
LQDA,Health Care,Biotechnology: Pharmaceutical Preparations
LQDT,Consumer Discretionary,Business Services
LRCX,Technology,Industrial Machinery/Components
LSCC,Technology,Semiconductors
LSTR,Industrials,Trucking Freight/Courier Services
LTBR,Basic Materials,Major Chemicals
LULU,Consumer Discretionary,Apparel
LUNR,Industrials,Industrial Machinery/Components
LWLG,Industrials,Containers/Packaging
LYEL,Health Care,Biotechnology: Pharmaceutical Preparations
LYFT,Consumer Discretionary,Business Services
LYTS,Consumer Discretionary,Building Products
LZ,Technology,EDP Services
MAKO,Basic Materials,Precious Metals
MAMA,Consumer Staples,Specialty Foods
MANH,Technology,Computer Software: Prepackaged Software
MAR,Consumer Discretionary,Hotels/Resorts
MARA,Finance,Finance: Consumer Services
MASS,Industrials,Industrial Machinery/Components
MAT,Consumer Discretionary,Recreational Games/Products/Toys
MATW,Telecommunications,Metal Fabrications
MAZE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MBIN,Finance,Major Banks
MBLY,Technology,Computer Software: Prepackaged Software
MBUU,Industrials,Marine Transportation
MBWM,Finance,Major Banks
MBX,Health Care,Biotechnology: Pharmaceutical Preparations
MCFT,Industrials,Marine Transportation
MCHB,Finance,Major Banks
MCHP,Technology,Semiconductors
MDB,Technology,Computer Software: Prepackaged Software
MDGL,Health Care,Biotechnology: Pharmaceutical Preparations
MDLN,Health Care,Medical/Dental Instruments
MDLZ,Consumer Staples,Packaged Foods
MEDP,Health Care,Biotechnology: Commercial Physical & Biological Resarch
MELI,Consumer Discretionary,Business Services
MEOH,Industrials,Major Chemicals
META,Technology,Computer Software: Programming Data Processing
METC,Energy,Coal Mining
METCB,Energy,Coal Mining
MFIC,Finance,Finance/Investors Services
MFP,Industrials,Industrial Machinery/Components
MGEE,Energy,Electric Utilities: Central
MGNI,Technology,Computer Software: Programming Data Processing
MGPI,Consumer Staples,Beverages (Production/Distribution)
MGRC,Consumer Discretionary,Diversified Commercial Services
MGTX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MIDD,Industrials,Industrial Machinery/Components
MIRM,Health Care,Biotechnology: Pharmaceutical Preparations
MITK,Technology,Computer peripheral equipment
MKSI,Industrials,Industrial Machinery/Components
MKTX,Finance,Investment Bankers/Brokers/Service
MLAB,Industrials,Industrial Machinery/Components
MLCO,Consumer Discretionary,Hotels/Resorts
MLKN,Consumer Discretionary,Office Equipment/Supplies/Services
MLTX,Health Care,Biotechnology: Pharmaceutical Preparations
MLYS,Health Care,Biotechnology: Pharmaceutical Preparations
MMED,Health Care,Medical/Dental Instruments
MMSI,Health Care,Medical/Dental Instruments
MMYT,Consumer Discretionary,Transportation Services
MNDY,Technology,Computer Software: Prepackaged Software
MNPR,Health Care,Biotechnology: Pharmaceutical Preparations
MNRO,Consumer Discretionary,Automotive Aftermarket
MNST,Consumer Staples,Beverages (Production/Distribution)
MOMO,Technology,Computer Software: Prepackaged Software
MORN,Finance,Investment Managers
MPB,Finance,Major Banks
MPLT,Health Care,Biotechnology: Pharmaceutical Preparations
MPWR,Technology,Semiconductors
MQ,Technology,Computer Software: Prepackaged Software
MRAM,Technology,Semiconductors
MRCY,Technology,Electrical Products
MRNA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MRTN,Industrials,Trucking Freight/Courier Services
MRVI,Health Care,Biotechnology: Pharmaceutical Preparations
MRVL,Technology,Semiconductors
MRX,Finance,Investment Bankers/Brokers/Service
MSBI,Finance,Major Banks
MSEX,Utilities,Water Supply
MSFT,Technology,Computer Software: Prepackaged Software
MSTR,Technology,Computer Software: Prepackaged Software
MTCH,Technology,Computer Software: Programming Data Processing
MTRX,Consumer Discretionary,Engineering & Construction
MTSI,Technology,Semiconductors
MU,Technology,Semiconductors
MWH,Industrials,Military/Government/Technical
MXL,Technology,Semiconductors
MYRG,Industrials,Water Sewer Pipeline Comm & Power Line Construction
MZTI,Consumer Staples,Packaged Foods
NAMS,Health Care,Biotechnology: Pharmaceutical Preparations
NAVI,Finance,Investment Bankers/Brokers/Service
NAVN,Technology,Computer Software: Prepackaged Software
NB,Basic Materials,Metal Mining
NBBK,Finance,Banks
NBIS,Technology,Computer Software: Programming Data Processing
NBIX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NBTB,Finance,Major Banks
NBTX,Health Care,Biotechnology: Pharmaceutical Preparations
NCNO,Technology,Computer Software: Prepackaged Software
NDAQ,Finance,Investment Bankers/Brokers/Service
NDSN,Industrials,Industrial Machinery/Components
NEGG,Consumer Discretionary,Other Specialty Stores
NEO,Health Care,Precision Instruments
NEOG,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NESR,Energy,Oilfield Services/Equipment
NEWT,Finance,Major Banks
NEXN,Technology,Computer Software: Programming Data Processing
NEXT,Utilities,Oil & Gas Production
NFLX,Consumer Discretionary,Consumer Electronics/Video Chains
NGNE,Health Care,Biotechnology: Pharmaceutical Preparations
NHP,Real Estate,Real Estate Investment Trusts
NHPBP,Real Estate,Real Estate Investment Trusts
NICE,Technology,Computer Software: Prepackaged Software
NKLR,Industrials,Metal Fabrications
NKTR,Health Care,Biotechnology: Pharmaceutical Preparations
NMFC,Finance,Finance/Investors Services
NMIH,Finance,Property-Casualty Insurers
NMRK,Finance,Real Estate
NN,Industrials,Industrial Machinery/Components
NNE,Utilities,Electric Utilities: Central
NOVT,Miscellaneous,Industrial Machinery/Components
NPCE,Health Care,Medical/Dental Instruments
NRC,Health Care,Biotechnology: Commercial Physical & Biological Resarch
NRDS,Technology,EDP Services
NRIM,Finance,Savings Institutions
NRIX,Health Care,Biotechnology: Pharmaceutical Preparations
NSIT,Consumer Discretionary,Catalog/Specialty Distribution
NSSC,Telecommunications,Telecommunications Equipment
NTAP,Technology,Electronic Components
NTCT,Technology,EDP Services
NTES,Technology,Computer Software: Prepackaged Software
NTGR,Utilities,Telecommunications Equipment
NTLA,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NTNX,Technology,Computer Software: Prepackaged Software
NTRA,Health Care,Medical Specialities
NTRS,Finance,Major Banks
NTSK,Technology,Computer Software: Prepackaged Software
NUAI,Energy,Oil & Gas Production
NUTX,Consumer Discretionary,Business Services
NVAX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NVCR,Health Care,Medical/Dental Instruments
NVCT,Health Care,Biotechnology: Pharmaceutical Preparations
NVDA,Technology,Semiconductors
NVEC,Technology,Semiconductors
NVMI,Technology,Electronic Components
NVTS,Technology,Semiconductors
NWBI,Finance,Major Banks
NWE,Utilities,Power Generation
NWL,Industrials,Plastic Products
NWPX,Industrials,Steel/Iron Ore
NWS,Consumer Discretionary,Newspapers/Magazines
NWSA,Consumer Discretionary,Newspapers/Magazines
NXPI,Technology,Semiconductors
NXST,Industrials,Broadcasting
NXT,Technology,Semiconductors
OCFC,Finance,Major Banks
OCS,Health Care,Biotechnology: Pharmaceutical Preparations
OCSL,Finance,Finance: Consumer Services
OCTV,Technology,Computer Software: Prepackaged Software
OCUL,Health Care,Biotechnology: Pharmaceutical Preparations
ODD,Consumer Discretionary,Package Goods/Cosmetics
ODFL,Industrials,Trucking Freight/Courier Services
OFIX,Health Care,Medical/Dental Instruments
OKTA,Technology,Computer Software: Prepackaged Software
OLED,Technology,Electrical Products
OLLI,Consumer Discretionary,Department/Specialty Retail Stores
OLMA,Health Care,Biotechnology: Pharmaceutical Preparations
OMCL,Technology,Computer Manufacturing
OMDA,Health Care,Medical/Nursing Services
OMER,Health Care,Biotechnology: Pharmaceutical Preparations
ON,Technology,Semiconductors
ONB,Finance,Major Banks
ONC,Health Care,Biotechnology: Pharmaceutical Preparations
ONDS,Technology,Radio And Television Broadcasting And Communications Equipment
OPCH,Health Care,Medical/Nursing Services
OPRA,Technology,Computer Software: Prepackaged Software
OPRT,Finance,Finance: Consumer Services
OPTX,Technology,Electronic Components
ORIC,Health Care,Biotechnology: Pharmaceutical Preparations
ORKA,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ORLY,Consumer Discretionary,Auto & Home Supply Stores
OSBC,Finance,Major Banks
OSPN,Technology,EDP Services
OSS,Technology,Computer Manufacturing
OSW,Consumer Discretionary,Hotels/Resorts
OTEX,Technology,EDP Services
OTTR,Utilities,Electric Utilities: Central
OUST,Industrials,Industrial Machinery/Components
OXLC,Finance,Investment Managers
OZK,Finance,Major Banks
PAA,Energy,Natural Gas Distribution
PAGP,Energy,Natural Gas Distribution
PAHC,Health Care,Biotechnology: Pharmaceutical Preparations
PANL,Consumer Discretionary,Marine Transportation
PANW,Technology,Computer peripheral equipment
PATK,Consumer Discretionary,Auto Parts:O.E.M.
PAX,Finance,Investment Managers
PAYO,Consumer Discretionary,Business Services
PAYP,Consumer Discretionary,Business Services
PAYS,Technology,EDP Services
PAYX,Industrials,Diversified Commercial Services
PBLS,Health Care,Biotechnology: Pharmaceutical Preparations
PBYI,Health Care,Biotechnology: Pharmaceutical Preparations
PCAR,Industrials,Auto Manufacturing
PCRX,Health Care,Biotechnology: Pharmaceutical Preparations
PCT,Industrials,Major Chemicals
PCTY,Technology,Computer Software: Prepackaged Software
PCVX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PDD,Consumer Discretionary,Business Services
PDFS,Technology,Computer Software: Prepackaged Software
PEBO,Finance,Major Banks
PECO,Real Estate,Real Estate Investment Trusts
PEGA,Technology,EDP Services
PENG,Technology,Semiconductors
PENN,Consumer Discretionary,Hotels/Resorts
PEP,Consumer Staples,Beverages (Production/Distribution)
PERI,Technology,EDP Services
PESI,Industrials,Environmental Services
PFG,Finance,Accident &Health Insurance
PGC,Finance,Commercial Banks
PGEN,Health Care,Biotechnology: Pharmaceutical Preparations
PGNY,Health Care,Misc Health and Biotechnology Services
PGY,Finance,Finance: Consumer Services
PHAT,Health Care,Biotechnology: Pharmaceutical Preparations
PHVS,Health Care,Biotechnology: Pharmaceutical Preparations
PI,Technology,Industrial Machinery/Components
PICS,Finance,Finance: Consumer Services
PKOH,Industrials,Industrial Specialties
PLAB,Technology,Semiconductors
PLAY,Consumer Discretionary,Restaurants
PLMR,Finance,Property-Casualty Insurers
PLPC,Industrials,Water Sewer Pipeline Comm & Power Line Construction
PLSE,Health Care,Medical/Dental Instruments
PLTR,Technology,Computer Software: Prepackaged Software
PLUS,Technology,Retail: Computer Software & Peripheral Equipment
PLXS,Technology,Electrical Products
PMTS,Consumer Discretionary,Publishing
PNTG,Health Care,Medical/Nursing Services
PODD,Health Care,Medical/Dental Instruments
POET,Technology,Semiconductors
PONY,Technology,EDP Services
POOL,Consumer Discretionary,Industrial Specialties
POWI,Technology,Semiconductors
